City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City,City datetime
54.654424,11.352033,280.43,72,58,3.94,DK,rodbyhavn,1651351603
14.1333333,-89.5,306.8,54,40,1.03,SV,texistepeque,1651351604
50.116667,9.9,283.06,95,100,1.97,DE,hammelburg,1651351605
6.539946,101.281284,300.42,93,100,1.38,TH,yala,1651351605
11.135,124.779722,295.98,95,100,0.97,PH,canhandugan,1651351606
7.148333,124.518056,296.15,95,64,0.49,PH,glad,1651351607
15.9925,120.4052,298.66,80,93,2.89,PH,sapang,1651351607
58.9977778,22.7491667,278.74,80,27,3.51,EE,kardla,1651351608
40.6,21.7833333,285.05,93,100,1.56,GR,komnina,1651351609
14.997007,102.647463,299.34,76,100,2.23,TH,huai thalaeng,1651351610
47.554953,7.645868,284.2,88,0,2.57,CH,birsfelden,1651351610
35.0,25.15,288.72,76,0,6.56,GR,pirgos,1651351611
8.00151,-73.511263,303.8,64,93,0.78,CO,san martin,1651351612
35.0,134.55,286.67,82,100,0.43,JP,yamasaki,1651351613
-24.25,-49.7,290.07,94,40,2.09,BR,jaguariaiva,1651351613
45.366667,26.9,282.43,63,31,2.69,RO,racoviteni,1651351614
39.7338889,-90.2288889,297.88,60,75,9.26,US,jacksonville,1651351615
-17.85,-41.5,296.6,62,67,0.98,BR,teofilo otoni,1651351615
44.766667,25.066667,284.72,68,98,1.73,RO,popesti,1651351616
25.383333,-103.416667,306.04,8,4,1.7,MX,nazareno,1651351617
12.991111,76.744444,298.02,74,5,4.22,IN,belluru,1651351617
9.697222,125.585556,299.08,86,91,3.2,PH,tagana-an,1651351618
28.816667,78.15,304.54,13,42,2.01,IN,tigri,1651351619
-21.7,-45.266667,291.74,87,86,2.13,BR,tres coracoes,1651351620
-10.4069444,-76.4619444,287.15,63,91,3.31,PE,chaupimarca,1651351620
-5.633333,-35.433333,302.22,69,75,4.12,BR,ceara-mirim,1651351621
-4.0333333,-80.0333333,298.48,68,97,1.25,EC,alamor,1651351622
0.4666667,35.9666667,295.23,72,100,1.59,KE,baringo,1651351622
41.4413889,-85.265,289.17,82,40,9.26,US,kendallville,1651351623
8.9,40.783333,290.68,79,99,0.42,ET,bedesa,1651351624
-22.266667,-57.333333,297.99,73,94,1.46,BR,san carlos,1651351625
23.836389,91.275,296.5,79,95,0.82,IN,agartala,1651351625
8.4319444,-13.2897222,301.33,77,53,3.54,SL,goderich,1651351626
47.75,11.383333,282.45,91,100,0.95,DE,penzberg,1651351627
48.607344,42.846213,283.86,64,97,3.8,RU,surovikino,1651351627
31.811111,121.655,286.44,86,100,3.53,CN,huilong,1651351628
47.8602778,-122.2030556,289.07,68,75,3.09,US,mill creek,1651351629
16.333333,-94.066667,304.0,47,11,5.16,MX,el espinal,1651351629
48.65,9.066667,282.04,87,75,2.57,DE,schonaich,1651351630
43.996111,19.906944,282.0,88,7,0.79,RS,kosjeric,1651351631
36.1538889,-95.9925,297.97,41,20,7.2,US,tulsa,1651351385
46.578889,19.39389,286.15,71,58,3.18,HU,soltvadkert,1651351632
44.659252,-1.169382,287.8,94,100,1.03,FR,arcachon,1651351633
13.584667,101.284028,303.63,99,69,1.38,TH,plaeng yao,1651351633
53.75,-112.783333,285.09,58,100,3.87,CA,lamont,1651351634
20.783333,-104.183333,307.37,3,75,2.85,MX,san marcos,1651351635
44.183333,24.633333,283.56,74,18,2.98,RO,stoicanesti,1651351636
40.5697222,-79.765,294.22,12,100,1.79,US,new kensington,1651351637
-8.516667,-39.316667,301.27,50,100,9.27,BR,cabrobo,1651351637
56.3306,48.3547,272.87,93,65,2.43,RU,mochalishche,1651351638
25.416667,-101.0,303.87,23,0,5.14,MX,saltillo,1651351482
-3.7,-38.65,302.17,70,40,5.66,BR,caucaia,1651351639
51.033333,7.55,283.82,70,98,1.75,DE,gummersbach,1651351640
43.2855556,-71.4677778,288.93,37,0,6.69,US,loudon,1651351641
57.127468,35.464037,272.48,65,68,1.99,RU,likhoslavl,1651351642
46.35,-72.55,288.44,30,0,5.66,CA,trois-rivieres,1651351280
47.307783,31.785063,282.44,66,12,2.41,UA,nova odesa,1651351643
49.8,5.533333,280.0,87,10,2.34,BE,leglise,1651351643
6.883333,124.7,296.22,97,48,0.25,PH,sambulawan,1651351644
28.45,76.816667,310.03,14,12,3.92,IN,farrukhnagar,1651351645
50.474689,17.965447,284.53,65,92,1.45,PL,krapkowice,1651351646
48.5038889,-122.2361111,286.25,79,100,0.0,US,sedro-woolley,1651351646
25.366004,68.312155,305.62,40,0,8.6,PK,kotri,1651351647
43.0730556,-89.4011111,290.12,81,100,7.2,US,madison,1651351648
11.0333333,20.2833333,306.87,26,73,1.77,TD,am timan,1651351648
47.245594,47.02814,286.13,43,25,4.56,RU,yenotayevka,1651351540
13.333333,79.45,301.85,72,3,1.59,IN,pallipattu,1651351649
51.801046,31.083827,277.1,67,20,2.32,UA,ripky,1651351650
49.116667,-66.483333,277.81,87,100,2.06,CA,sainte-anne-des-monts,1651351651
42.4,-82.183333,286.26,30,20,10.29,CA,chatham,1651351652
27.5,83.45,296.14,64,0,3.24,NP,siddharthanagar,1651351652
6.6425,124.578611,296.61,96,28,0.37,PH,dansuli,1651351653
24.816667,84.65,300.23,63,4,4.53,IN,rafiganj,1651351654
-20.1855556,57.4772222,298.06,85,18,3.78,MU,pailles,1651351654
-34.640949,148.028381,280.29,81,0,1.72,AU,cootamundra,1651351655
35.6511111,-78.8338889,296.68,91,100,4.32,US,holly springs,1651351656
11.2161,123.1073,299.53,84,93,3.09,PH,concepcion,1651351657
41.1333333,25.0,285.33,79,94,3.73,GR,seleron,1651351657
66.316667,-179.166667,264.06,79,100,4.96,RU,egvekinot,1651351658
51.6,7.766667,284.92,71,0,1.54,DE,bonen,1651351659
28.633333,79.8,301.56,19,5,3.56,IN,pilibhit,1651351660
24.633333,79.5,304.88,18,0,2.59,IN,bijawar,1651351660
41.633611,46.643333,290.41,72,100,2.06,AZ,zaqatala,1651351661
14.0311,120.7296,297.3,90,95,2.01,PH,mataywanac,1651351662
36.1155556,-97.0580556,297.9,39,0,5.14,US,stillwater,1651351663
39.596111,27.024444,287.01,72,40,6.69,TR,edremit,1651351663
44.818889,40.933889,285.7,95,98,3.22,RU,novoalekseyevskaya,1651351664
42.6166667,27.3,284.08,87,36,0.51,BG,balgarovo,1651351665
32.533333,75.983333,288.72,36,79,4.87,IN,dalhousie,1651351665
20.75,-89.466667,300.91,47,67,3.85,MX,tecoh,1651351666
47.283333,22.533333,283.72,69,57,1.71,RO,balc,1651351667
11.85,38.016667,291.98,32,95,1.15,ET,debre tabor,1651351668
17.65,95.8,298.91,80,35,2.78,MM,tharrawaddy,1651351668
14.7,-88.8166667,306.78,43,40,2.57,HN,ojos de agua,1651351669
1.4451,125.1824,298.62,82,99,1.16,ID,bitung,1651351670
9.4628,123.3001,300.41,78,99,1.76,PH,samboan,1651351670
50.133333,8.55,284.23,78,20,4.12,DE,eschborn,1651351671
5.323605,-73.490669,286.35,97,100,1.98,CO,turmeque,1651351672
42.1166667,-71.8652778,289.07,35,0,4.47,US,oxford,1651351673
46.7,27.55,281.89,75,21,1.26,RO,delesti,1651351673
58.0027778,25.935,274.23,79,21,1.94,EE,torva,1651351674
48.792661,2.465694,285.95,57,0,4.63,FR,creteil,1651351675
11.5612,124.3952,299.09,86,99,3.08,PH,naval,1651351675
33.8973,48.7516,285.28,67,5,1.28,IR,borujerd,1651351676
33.5,133.9,287.3,72,100,1.74,JP,aki,1651351677
55.18858,9.069251,280.12,81,0,3.09,DK,toftlund,1651351677
34.1480556,-117.9980556,304.97,36,7,2.24,US,monrovia,1651351678
9.0333333,1.4166667,298.53,67,96,2.4,TG,tchamba,1651351679
13.55,78.5,300.38,54,10,2.24,IN,madanapalle,1651351680
51.416667,-0.833333,287.32,70,100,3.09,GB,wokingham,1651351680
35.4846,51.0829,292.07,55,40,5.14,IR,robat karim,1651351681
46.340505,19.051153,286.77,73,69,3.23,HU,nemesnadudvar,1651351682
50.261,95.1623,282.54,28,100,2.42,RU,erzin,1651351683
44.95,26.35,285.27,66,20,2.29,RO,colceag,1651351683
55.332697,38.813647,272.94,72,30,1.46,RU,khorlovo,1651351684
44.55,28.566667,282.17,75,9,3.31,RO,cogealac,1651351685
40.6486111,69.9855556,290.54,43,2,3.26,TJ,adrasmon,1651351686
1.7388889,33.1594444,292.56,90,66,0.48,UG,kaberamaido,1651351686
-0.791834,100.659315,295.08,98,99,0.63,ID,solok,1651351687
32.765,35.05,293.06,79,15,5.42,IL,nesher,1651351688
48.05,10.866667,282.49,84,100,0.51,DE,landsberg,1651351688
47.35,25.366667,278.47,77,86,0.68,RO,vatra dornei,1651351689
53.3644,38.0694,275.87,67,7,2.15,RU,kazachka,1651351690
42.4472222,-71.225,289.47,41,75,4.63,US,lexington,1651351691
18.2030556,-67.14,300.68,88,100,2.22,PR,mayaguez,1651351691
10.6333333,-61.3333333,302.41,65,40,5.66,TT,arouca,1651351692
32.8233333,-97.1702778,302.94,29,20,6.69,US,hurst,1651351693
45.083333,25.216667,282.2,80,97,1.63,RO,candesti,1651351693
42.925,133.047222,278.0,94,99,1.16,RU,yekaterinovka,1651351694
56.504205,66.551531,277.08,51,100,2.62,RU,zavodoukovsk,1651351695
46.366667,24.483333,285.27,81,24,2.57,RO,bahnea,1651351696
41.3816667,19.7602778,286.03,76,0,1.03,AL,kamze,1651351696
11.5464,122.0849,297.12,85,97,3.3,PH,bacalan,1651351697
41.5758333,-72.5030556,290.97,32,100,3.22,US,east hampton,1651351698
10.23478,123.769,299.12,88,100,2.63,PH,inayagan,1651351699
42.7341667,-90.4783333,292.28,94,100,3.6,US,platteville,1651351699
17.7204,121.6816,296.8,87,46,1.49,PH,dassun,1651351700
15.9678,120.466,298.42,81,91,2.53,PH,tebag,1651351701
12.301439,123.55811,298.68,88,100,3.04,PH,malinta,1651351701
32.983333,132.933333,286.14,80,100,1.54,JP,nakamura,1651351702
49.04001,41.005569,282.97,60,99,3.27,RU,kashary,1651351703
18.4,76.583333,303.77,20,2,5.61,IN,latur,1651351704
6.602222,125.445,298.85,81,66,1.94,PH,tanglad,1651351704
52.35,-8.6833333,284.74,88,100,0.45,IE,charleville,1651351705
48.95,18.15,285.22,65,81,1.09,SK,nova dubnica,1651351706
10.763333,122.493056,298.36,83,100,3.56,PH,balabag,1651351706
51.6,7.766667,284.92,71,0,1.54,DE,bonen,1651351659
55.938142,9.121783,279.12,80,86,2.51,DK,brande,1651351708
44.183333,26.85,282.96,79,5,2.24,RO,chiselet,1651351709
49.456677,35.129469,281.04,69,56,2.31,UA,karlivka,1651351651
51.35,7.466667,283.93,73,91,1.43,DE,hagen,1651351710
50.8,7.616667,283.59,75,76,1.28,DE,rosbach,1651351710
19.75,-71.45,303.26,50,58,7.49,DO,villa vazquez,1651351711
51.666667,-114.133333,287.03,33,95,5.14,CA,didsbury,1651351712
15.2419,120.853,300.96,88,99,1.17,PH,san roque,1651351712
46.62648,18.859624,286.32,73,73,2.68,HU,paks,1651351713
37.533333,138.933333,281.13,90,100,2.02,JP,mitsuke,1651351714
